Localidade;Ano;AnosIniciaisRedeMunicipal;AnosIniciaisRedeEstadual;AnosIniciaisRedeFederal;AnosIniciaisRedePública;AnosFinaisRedeMunicipal;AnosFinaisRedeEstadual;AnosFinaisRedeFederal;AnosFinaisRedePública
Montes Claros de Goiás;2011;;;;;4,6;3,9;;4,4
Montes Claros de Goiás;2013;5,5;5,6;;5,5;4,7;5,6;;4,8
Montes Claros de Goiás;2015;6,1;;;6,1;;;;
Montes Claros de Goiás;2017;6,1;5,6;    ;6;5,5;5,5;    ;5,5
Montividiu;2005;3,3;;;3,3;3,7;;;3,7
Montividiu;2007;3,8;;;3,8;3,8;;;3,8
Montividiu;2009;4,9;;;4,9;4,4;;;4,4
Montividiu;2011;5,8;;;5,8;4,5;;;4,5
Montividiu;2013;5,6;;;5,6;4,2;;;4,2
Montividiu;2015;5,8;;;5,8;4,4;;;4,4
Montividiu;2017;6,1;    ;    ;6,1;4,6;    ;    ;4,6
Montividiu do Norte;2005;;3,5;;3,4;;3,8;;3,5
Montividiu do Norte;2007;3,6;4,2;;3,8;;3,9;;3,7
Montividiu do Norte;2009;4;4,2;;4,2;;3,1;;3,1
Montividiu do Norte;2011;5;;;5;;4;;4
Montividiu do Norte;2013;4,4;6;;5;;4,5;;4,4
Montividiu do Norte;2015;5;;;5;;4,7;;4,6
Montividiu do Norte;2017;5,4;    ;    ;5,4;    ;5,1;    ;5
Morrinhos;2005;4,1;4;;4,1;;2,9;;3
Morrinhos;2007;4,3;4,1;;4,3;4;3,2;;3,4
Morrinhos;2009;4,7;4,5;;4,7;3,1;3,1;;3,1
Morrinhos;2011;5,2;5,3;;5,2;3,6;3,6;;3,5
Morrinhos;2013;5,4;5,7;;5,5;4,5;4,3;;4,3
Morrinhos;2015;5,5;5,6;;5,5;3,9;4,5;;4,3
Morrinhos;2017;6,7;6,3;    ;6,6;5,5;5;    ;5,1
Morro Agudo de Goiás;2005;;;;;;3,7;;3,7
Morro Agudo de Goiás;2007;;4,3;;4,2;;4;;4
Morro Agudo de Goiás;2009;4,7;;;4,8;;3,7;;3,7
Morro Agudo de Goiás;2011;4,4;;;4,4;;4,2;;4,2
Morro Agudo de Goiás;2013;6,6;;;6,6;;4,9;;4,9
Morro Agudo de Goiás;2015;5,8;;;5,8;;4,7;;4,7
Morro Agudo de Goiás;2017;6;    ;    ;6;    ;5,2;    ;5,2
Mossâmedes;2005;;4,5;;4,3;;4,2;;4,1
Mossâmedes;2007;;4,2;;4,2;;3,9;;3,8
Mossâmedes;2009;5;4,9;;5;;4,5;;4,4
Mossâmedes;2011;6,2;5,2;;5,7;;5,3;;5,3
Mossâmedes;2013;6,6;6,7;;6,6;;5,6;;5,6
Mossâmedes;2015;;;;;;5,4;;5,4
Mossâmedes;2017;7,3;6,6;    ;7,1;    ;6,1;    ;6,1
Mozarlândia;2005;3,3;4,5;;4;;3,3;;3,3
Mozarlândia;2007;4;4,5;;4,3;4,1;3,4;;3,5
Mozarlândia;2009;4,3;4,9;;4,5;4;3,3;;3,6
Mozarlândia;2011;4,9;4,4;;4,8;4,1;3,5;;3,7
Mozarlândia;2013;5,2;;;5,2;3,4;4,1;;3,8
Mozarlândia;2015;5,2;;;5,2;4,2;4,8;;4,6
Mozarlândia;2017;5,6;    ;    ;5,6;4,5;5,3;    ;4,9
Mundo Novo;2005;3,1;3,2;;3,1;;3,3;;3,3
Mundo Novo;2007;3,6;3,3;;3,6;;3,4;;3,4
Mundo Novo;2009;4,5;4,7;;4,5;;4;;4
Mundo Novo;2011;4,8;;;4,9;;3,6;;3,6
Mundo Novo;2013;5,7;;;5,7;;4,8;;4,8
Mundo Novo;2015;5,5;;;5,4;;4,7;;4,7
Mundo Novo;2017;6;5,2;    ;5,8;    ;4,6;    ;4,6
Mutunópolis;2005;3,7;;;3,7;;3,5;;3,5
Mutunópolis;2007;4,5;;;4,5;;3,7;;3,7
Mutunópolis;2009;5,4;5,4;;5,4;;3,6;;3,6
Mutunópolis;2011;5;;;5;;4,2;;4,2
Mutunópolis;2013;5,8;;;5,8;;4,7;;4,7
Mutunópolis;2015;5,3;;;5,3;;4,9;;4,9
Mutunópolis;2017;6,1;    ;    ;6,1;    ;5,5;    ;5,5
Nazário;2005;4,5;4,2;;4,4;;4;;4
Nazário;2007;4,2;3,6;;4,2;;3,2;;3,2
Nazário;2009;4,8;5,1;;4,9;;4,2;;4,2
Nazário;2011;5,1;;;5,1;;3,7;;3,7
Nazário;2013;5,5;5,7;;5,6;;4,5;;4,5
Nazário;2015;5,8;5,5;;5,7;;4,3;;4,3
Nazário;2017;6,1;6,1;    ;6,1;    ;4,3;    ;4,3
Nerópolis;2005;4,2;3,9;;4,2;4;3,4;;3,6
Nerópolis;2007;5,1;4,2;;4,9;4;3,8;;3,9
